label,noise_type,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
15C_15C,A,-624.95105,67.88683,21.534735,5.116895,-4.1833262,11.374031,12.60442,14.6240225,2.3228385,10.364425,-2.395027,-5.0100837,13.9106655
15C_15C,A,-677.8806,19.67258,21.786543,26.373405,9.999754,15.176923,13.517606,13.8230095,2.7890723,17.821308,7.371131,0.6825777,17.692627
15C_15C,A,-712.18823,-12.724488,12.838096,19.243793,-2.4794555,7.4516077,9.03018,7.2647862,-2.589876,13.63647,2.4112816,-3.3403726,13.424704
15C_15C,A,-666.1107,31.408548,23.352211,23.787125,7.283052,14.309081,13.901801,11.494531,-0.7261142,14.716352,3.950282,0.2706989,20.069378
15C_15C,A,-671.7307,27.44305,26.489342,29.861795,10.498715,12.931221,10.917233,9.368321,0.045088485,17.671331,7.3419776,1.0540634,17.791567
15C_15C,A,-712.4964,-12.81543,12.176602,18.542921,-2.117684,7.4995723,8.599081,7.311789,-3.3916142,12.623882,2.1176617,-3.0951402,13.880474
15C_15C,A,-712.3886,-12.823414,13.021916,18.633505,-3.1326709,7.7641954,9.4661045,6.5667777,-3.206207,13.474258,2.4418747,-3.23822,14.742447
15C_15C,A,-711.71466,-11.644445,13.624175,19.345585,-2.9708254,7.6099706,9.479087,7.5842524,-2.916021,13.535113,2.3959053,-3.711521,13.48953
15C_15C,A,-650.3493,42.24682,21.224297,19.146458,5.7058825,11.18448,9.309683,10.023438,-1.1562239,12.805883,2.4458718,-3.6047966,13.179462
15C_15C,A,-711.9855,-12.987009,12.010756,18.163889,-2.8835719,6.8734837,7.8851476,6.329448,-3.8890872,14.001637,2.1535215,-4.4494853,13.409769
15C_15C,A,-675.66,18.668785,19.922081,28.516768,10.55518,14.438171,14.088584,12.515273,1.7801375,17.633236,6.018783,-1.1786416,16.57366
15C_15C,A,-676.6695,21.87367,24.469944,30.121006,10.466686,13.2477455,12.31278,11.998593,1.4516193,18.417841,7.764419,1.7866782,19.519146
15C_15C,A,-712.3666,-12.85242,13.5284605,18.593153,-2.8610635,7.1615868,8.2300625,6.630581,-2.723135,14.056153,2.84235,-3.0474505,14.365985
15C_15C,A,-713.0568,-11.98905,14.304077,17.612446,-2.701406,8.598917,8.42184,7.1591654,-2.9059548,12.868976,3.307267,-3.5989137,12.470693
15C_15C,A,-676.6803,23.698635,26.34324,28.217236,11.821062,15.401997,11.237843,12.705248,1.6637506,14.186014,5.5049043,0.5460793,16.330572
15C_15C,A,-714.0029,-13.311643,12.968592,16.481615,-2.928466,8.351849,8.294255,7.178029,-2.0669875,13.3524685,3.2744966,-3.400168,11.7884445
15C_15C,A,-662.66425,32.473072,21.023153,18.145742,2.7644947,11.922902,10.571254,10.113815,0.1353845,13.966668,2.302474,-3.7292185,13.354557
15C_15C,A,-712.98413,-11.027756,15.828032,18.004404,-2.572803,7.943246,7.563399,6.521066,-3.3261585,12.374122,3.0825808,-2.9725215,13.040031
15C_15C,A,-683.3522,16.838566,23.943678,28.242008,12.844046,18.659668,14.753069,14.805807,3.29563,15.681982,7.055485,1.6537817,16.98924
15C_15C,A,-654.4835,40.89509,20.378197,17.21383,5.765564,11.821367,9.086337,11.146697,-1.1440547,11.819892,5.554974,1.6965225,17.19106
15C_15C,A,-714.85,-13.317325,13.130679,15.589159,-3.5416276,7.99516,8.323627,7.392978,-2.0224943,13.605494,3.8329878,-2.6014361,12.46241
15C_15C,A,-675.1742,20.763926,20.514416,27.346876,11.899422,16.690277,14.624728,13.856685,1.7206825,17.052977,6.9041677,0.86074203,17.523392
15C_15C,A,-664.94214,32.52553,24.097223,23.582586,8.597401,14.859681,12.680037,11.78191,0.843969,16.595835,6.467395,0.27190498,16.854555
15C_15C,A,-683.89734,14.43947,21.23404,28.695486,13.070963,17.849234,14.742394,13.118515,1.6316829,17.63764,7.640286,2.0347157,18.9812
15C_15C,A,-713.91296,-12.568238,12.974297,16.395254,-3.2014072,8.186144,9.3870125,9.172341,-1.7758206,12.818849,3.15523,-2.7273962,13.061704
15C_15C,A,-722.71136,-8.248344,19.761936,5.046587,-0.16616215,13.750725,-2.2910159,9.876439,2.9321415,4.7970395,6.7061105,2.188285,5.043821
15C_15C,A,-625.76416,69.771576,21.962515,4.988858,-3.552274,10.415379,12.484008,14.495791,2.8062618,10.076383,-2.5394347,-4.037949,13.849134
15C_15C,A,-678.5596,23.193443,23.17397,26.112648,10.780767,14.798732,13.254579,13.243194,2.7417896,16.704191,6.0098386,0.51995194,16.707262
15C_15C,B,-726.6992,-8.340866,23.288214,9.193092,3.0981767,15.719065,0.21238182,11.589224,3.7645333,6.113528,7.3066707,2.8008523,6.420786
15C_15C,B,-727.7566,-8.576598,24.362411,9.054014,2.042998,15.707731,0.45198393,12.166948,4.422463,5.443168,7.0640974,2.4830563,6.2405057
15C_15C,B,-725.1195,-7.122088,23.769474,8.20239,1.7524455,14.904573,0.088194296,11.371079,3.4184816,5.6910477,7.391207,2.594694,6.6138067
15C_15C,B,-658.8437,40.399036,31.475124,27.888542,6.2505765,10.196349,10.179571,9.516183,-2.1509707,13.885918,1.176293,-6.2504096,10.625904
15C_15C,B,-620.3594,62.82735,7.7100844,4.5289893,7.063132,14.05646,6.2825933,9.416674,0.2748897,10.503577,-0.50605476,-2.8679368,12.914296
15C_15C,B,-629.01465,63.323475,20.610584,6.736603,-3.3267186,8.275589,10.254067,15.407718,3.1074867,9.4235935,-4.6154976,-5.8980055,14.590074
15C_15C,B,-644.45593,50.602146,20.717474,13.381634,6.2721453,15.273211,11.105687,13.4726715,2.1884902,12.471708,3.9805164,-0.03670103,12.904382
15C_15C,B,-669.6799,30.81263,28.149054,26.003954,8.863637,13.566619,11.558974,14.515052,4.1883063,17.89782,6.931044,-2.3899589,11.882726
15C_15C,B,-673.40625,26.567663,25.054955,23.54185,8.08055,14.0868025,10.539162,12.024523,0.93436843,14.817262,4.501562,-3.127683,12.101914
15C_15C,B,-727.1431,-4.589529,26.634804,12.043094,6.0041804,19.63787,3.534505,13.798433,4.8799977,6.2052217,8.364048,4.1469417,7.9142513
15C_15C,B,-687.5561,13.271132,22.865326,27.74266,13.384005,18.372507,14.256545,14.369414,2.6901097,17.131763,8.575094,1.6715106,16.13954
15C_15C,B,-665.441,29.761806,18.020449,16.193386,2.7121742,10.76428,9.553712,10.336917,0.33100125,14.433497,2.324645,-4.0298243,14.160731
15C_15C,B,-650.5214,45.609592,24.319927,17.10012,3.5250916,13.051722,13.08967,13.330333,1.6409239,13.974972,1.3025323,-3.189956,14.644416
15C_15C,B,-674.01306,24.937998,26.696959,29.314632,11.274224,16.09258,14.940528,14.942411,2.2099707,16.601254,6.408745,-1.6835986,13.592264
15C_15C,B,-725.8608,-3.7850091,26.955658,10.8618765,3.719054,17.628538,2.1578412,13.418004,5.1655884,6.5050607,8.519705,3.953438,6.966689
15C_15C,B,-724.3093,-4.1967235,25.880474,11.1855,3.6993976,16.43338,2.2154682,14.202525,6.3093133,7.362689,8.493348,3.962398,7.3080726
15C_15C,B,-727.4345,-7.0828066,23.893272,8.287914,2.3040316,15.804563,0.37839377,11.120495,3.4639986,6.206992,7.4591885,3.3243487,6.687958
15C_15C,B,-727.785,-8.262432,24.146433,8.586409,3.0863717,16.33252,0.65980256,11.768521,3.673952,5.306745,7.7064657,3.3347063,7.114171
15C_15C,B,-724.08203,-3.8653083,24.921352,8.687646,1.5366682,14.031099,0.18996055,10.6829405,3.0810652,4.8137026,6.278485,2.3548906,4.3730597
15C_15C,B,-723.5496,-4.402251,24.854588,10.852707,2.9555392,14.162048,-0.32802987,10.207143,2.7064795,4.474413,5.871133,3.2992203,6.777491
15C_15C,B,-722.69806,-2.1423552,27.706932,12.506819,5.841976,17.26916,2.679677,13.298265,5.849744,7.1761694,7.789762,3.8523085,6.3604364
15C_15C,B,-723.4568,-3.0093393,25.933445,9.78264,2.5631511,14.644602,-0.16616316,10.854742,3.6740487,4.889251,5.558402,1.9039336,5.4246407
15C_15C,B,-723.9387,-3.1463847,24.988096,9.470431,3.2021348,15.771585,0.5059617,10.029014,2.8792436,6.133775,7.9355516,4.6273627,7.118081
15C_15C,B,-723.8532,-3.154638,24.91891,9.405729,2.9445727,15.560542,1.0549529,9.615144,2.3463452,4.557582,6.348958,2.1562726,5.6957026
15C_15C,B,-659.75305,42.209606,30.92796,27.433376,6.417495,10.185928,10.358647,8.768185,-2.0482216,12.81042,1.1467172,-5.756762,9.927677
15C_15C,B,-621.9935,65.31252,8.01738,3.781288,7.1783733,13.914242,6.1458273,8.648374,0.78918105,11.091595,-0.028007243,-2.3193839,13.141565
15C_15C,B,-630.68335,65.90541,21.209276,5.858417,-3.312002,7.7913184,10.872694,15.278163,3.4488716,8.185519,-6.209602,-5.2211175,14.661683
15C_15C,B,-645.6088,53.381924,22.256784,12.427468,5.4328647,14.582027,10.985232,12.213401,2.2460916,12.630205,3.7108495,0.79272914,13.42785
15C_15C,B,-669.86975,34.70457,29.259808,25.042646,8.712453,13.560411,11.447772,13.6775255,3.9766731,16.619883,6.066246,-2.6309288,10.249821
15C_15C,B,-675.04596,29.254385,26.051304,22.970839,7.3296413,13.325581,11.198534,12.151708,2.9640243,15.153935,3.5809822,-2.466513,12.193399
15C_15C,B,-722.8863,-2.1827583,26.988598,11.660584,5.4481726,18.36845,3.0349805,13.401402,6.9414525,8.623896,9.001036,3.8717816,6.1158624
15C_15C,B,-666.17633,32.92144,18.064373,15.443449,2.7641132,10.878824,10.07697,9.906714,-0.079953596,14.14166,2.233086,-3.7220182,12.955092
15C_15C,B,-652.0024,47.157127,24.251938,17.568707,4.471967,13.271779,12.984715,12.208417,1.844101,13.593063,1.6113707,-2.73763,13.777851
15C_15C,B,-675.80414,27.772133,27.327154,29.039907,11.711405,15.076682,13.677725,12.436233,2.5365818,17.207153,6.053821,-0.78908837,13.726042
15C_15C,B,-721.8049,-0.65369856,27.449133,11.430833,5.204738,18.159222,3.2702127,13.564727,6.5082436,8.319184,9.464668,5.5872316,7.2533407
15C_15C,B,-721.55444,-0.90344906,28.12466,12.931709,5.8524604,17.889624,3.6809106,13.951421,5.7880406,5.9501634,6.5467353,3.9013226,7.3742266
15C_15C,A,-713.6411,-12.55996,13.868207,16.855501,-3.0718102,8.019723,8.34856,7.3845444,-2.5470672,12.786818,3.1573946,-2.3639333,13.135198
15C_15C,A,-711.40186,-9.347239,14.529563,19.773619,-2.0233526,6.23235,7.6859956,4.5531774,-4.661118,11.7444315,0.9741125,-3.3512635,13.610453
15C_15C,B,-728.0892,-2.031767,27.287119,12.926316,6.6717687,18.286049,2.5992942,12.815793,4.9286942,6.7365513,8.265563,4.3262286,8.22007
15C_15C,B,-724.6525,-3.7277176,25.98635,10.930555,4.9016504,18.414354,2.269484,13.702303,5.9450636,6.668866,7.9564986,3.8435576,7.363971
